step,day,worker,animal,tty,ds5,ds20,has_replacement,replacement_count,best_alt,is_winner
239,9,H3,COW,169,2079.0,9008.0,True,28,HARVEST,True
244,10,F,SHEEP,116,0.0,7008.0,True,67,WATER,True
248,10,H2,SHEEP,112,0.0,7008.0,True,64,WATER,True
248,10,H5,COW,160,0.0,7008.0,True,64,WATER,True
249,10,F,COW,159,1586.0,7008.0,True,62,WATER,True
279,11,H0,SHEEP,81,77.0,3781.0,True,51,HARVEST,True
287,11,H1,SHEEP,73,2240.0,4908.0,True,40,HARVEST,True
287,11,H5,COW,169,2240.0,4908.0,True,40,HARVEST,True
293,12,H7,SHEEP,67,1464.0,4849.0,True,105,WATER,True
293,12,H11,SHEEP,67,1464.0,4849.0,True,105,WATER,True
295,12,H6,COW,113,1464.0,4849.0,True,99,WATER,True
298,12,F,COW,158,146.0,3385.0,True,87,WATER,True
298,12,H2,COW,158,146.0,3385.0,True,87,WATER,True
299,12,H6,COW,109,290.0,3385.0,True,77,WATER,True
300,12,H11,SHEEP,60,434.0,3385.0,True,72,WATER,True
301,12,H2,COW,155,1133.0,3385.0,True,70,WATER,True
302,12,H9,SHEEP,106,1204.0,3385.0,True,69,WATER,True
305,12,H4,SHEEP,103,1879.0,2951.0,True,68,WATER,True
325,13,H7,SHEEP,83,0.0,2008.0,True,55,WATER,True
328,13,H3,COW,128,134.0,2596.0,True,41,HARVEST,True
328,13,H7,COW,128,134.0,2596.0,True,41,HARVEST,True
329,13,H6,COW,79,134.0,2596.0,True,36,HARVEST,True
330,13,H10,COW,78,1010.0,2596.0,True,32,HARVEST,True
331,13,H11,COW,125,1009.0,2529.0,True,32,HARVEST,True
343,14,H6,COW,65,588.0,2079.0,True,88,WATER,True
344,14,H1,COW,64,588.0,2079.0,True,84,WATER,True
344,14,H2,SHEEP,64,588.0,2079.0,True,84,WATER,True
346,14,H6,COW,110,588.0,2079.0,True,79,WATER,True
347,14,H1,SHEEP,133,588.0,2079.0,True,74,WATER,True
347,14,H2,COW,109,588.0,2079.0,True,74,WATER,True
349,14,H4,COW,107,0.0,1491.0,True,69,WATER,True
366,15,H1,SHEEP,66,0.0,10279.0,True,101,WATER,True
373,15,H0,COW,83,600.0,10279.0,True,63,HARVEST,True
374,15,H3,COW,82,600.0,10279.0,True,58,HARVEST,True
376,15,H2,SHEEP,104,2576.0,9679.0,True,53,HARVEST,True
377,15,H7,COW,79,3276.0,9679.0,True,52,HARVEST,True
393,16,F,COW,63,274.0,8075.0,True,82,WATER,True
398,16,H7,COW,58,0.0,7801.0,True,61,WATER,True
398,16,H11,SHEEP,82,0.0,7801.0,True,61,WATER,True
432,17,H4,COW,999,7423.0,8521.0,True,38,WATER,True
491,20,H6,SHEEP,61,0.0,4120.0,True,53,WATER,True
504,20,H4,COW,96,1378.0,10244.0,True,24,WATER,True
504,20,H6,COW,144,1378.0,10244.0,True,24,WATER,True
509,21,H0,SHEEP,67,2900.0,17013.0,True,125,HARVEST,True
509,21,H4,SHEEP,67,2900.0,17013.0,True,125,HARVEST,True
566,23,H4,SHEEP,58,2430.0,8410.0,True,46,WATER,True
567,23,H0,SHEEP,57,4086.0,8410.0,True,46,WATER,True
581,24,H0,SHEEP,67,0.0,2850.0,True,53,WATER,True
581,24,H1,SHEEP,67,0.0,2850.0,True,53,WATER,True
582,24,H4,SHEEP,66,0.0,3515.0,True,49,WATER,True
586,24,H6,SHEEP,62,0.0,3515.0,True,32,WATER,True
635,26,H0,SHEEP,61,1399.0,3199.0,True,25,PLANT,True
635,26,H5,SHEEP,61,1399.0,3199.0,True,25,PLANT,True
636,26,H4,SHEEP,60,1567.0,3199.0,True,22,PLANT,True
652,27,H4,SHEEP,999,343.0,4918.0,True,58,HARVEST,True
652,27,H7,SHEEP,999,343.0,4918.0,True,58,HARVEST,True
655,27,H7,SHEEP,999,1570.0,4584.0,True,48,HARVEST,True
657,27,H5,SHEEP,999,2584.0,4584.0,True,41,HARVEST,True
675,28,H10,SHEEP,999,0.0,185.0,True,28,FEED,True
676,28,H0,SHEEP,999,0.0,185.0,True,27,FEED,True
678,28,H11,SHEEP,999,0.0,2058.0,True,21,FEED,True
681,28,H10,SHEEP,999,8.0,2058.0,True,15,FEED,True
688,28,H2,COW,999,43.0,1980.0,True,8,HARVEST,True
690,28,H0,COW,999,46.0,1973.0,True,6,HARVEST,True
690,28,H4,COW,999,46.0,1973.0,True,6,HARVEST,True
8,0,H3,SHEEP,136,0.0,0.0,True,5,HARVEST,False
13,0,H3,SHEEP,131,0.0,0.0,True,9,HARVEST,False
25,1,F,COW,167,0.0,198.0,True,38,HARVEST,False
30,1,F,COW,162,0.0,394.0,True,38,HARVEST,False
33,1,F,SHEEP,111,0.0,456.0,True,38,HARVEST,False
35,1,F,SHEEP,109,198.0,549.0,True,38,HARVEST,False
51,2,H1,COW,141,217.0,1023.0,True,42,HARVEST,False
52,2,F,SHEEP,92,248.0,992.0,True,41,HARVEST,False
54,2,H1,COW,138,310.0,1318.0,True,40,HARVEST,False
55,2,F,SHEEP,89,310.0,1256.0,True,38,HARVEST,False
75,3,F,COW,117,0.0,320.0,True,41,HARVEST,False
78,3,F,COW,114,0.0,700.0,True,41,HARVEST,False
81,3,F,SHEEP,63,96.0,700.0,True,36,HARVEST,False
84,3,F,SHEEP,60,160.0,734.0,True,33,HARVEST,False
99,4,F,COW,93,66.0,447.0,True,42,HARVEST,False
102,4,F,COW,90,165.0,1351.0,True,40,HARVEST,False
105,4,F,COW,159,0.0,1186.0,True,35,HARVEST,False
124,5,F,COW,68,0.0,0.0,True,42,HARVEST,False
125,5,H0,COW,139,0.0,450.0,True,42,HARVEST,False
127,5,F,COW,65,0.0,450.0,True,41,HARVEST,False
149,6,H3,SHEEP,999,154.0,3209.0,True,44,HARVEST,False
152,6,H3,SHEEP,999,279.0,3179.0,True,40,HARVEST,False
153,6,F,COW,111,217.0,3117.0,True,37,HARVEST,False
156,6,H3,COW,156,0.0,2900.0,True,33,HARVEST,False
174,7,H4,COW,138,198.0,2127.0,True,47,HARVEST,False
177,7,F,COW,87,429.0,2061.0,True,45,HARVEST,False
177,7,H2,SHEEP,135,429.0,2061.0,True,45,HARVEST,False
182,7,H2,SHEEP,130,792.0,1632.0,True,36,HARVEST,False
195,8,F,COW,999,0.0,1438.0,True,59,WATER,False
196,8,H0,COW,164,0.0,2686.0,True,58,WATER,False
198,8,F,COW,999,0.0,3211.0,True,56,WATER,False
199,8,H0,COW,161,0.0,3211.0,True,55,WATER,False
199,8,H1,COW,113,0.0,3211.0,True,55,WATER,False
201,8,F,COW,63,0.0,3211.0,True,50,WATER,False
202,8,H0,SHEEP,110,0.0,3211.0,True,48,WATER,False
205,8,H0,SHEEP,107,0.0,3211.0,True,39,HARVEST,False
221,9,H0,SHEEP,91,0.0,930.0,True,60,WATER,False
222,9,H3,COW,90,0.0,930.0,True,57,WATER,False
224,9,H0,SHEEP,88,0.0,930.0,True,57,WATER,False
224,9,H2,COW,136,0.0,930.0,True,57,WATER,False
227,9,H2,COW,133,0.0,930.0,True,49,HARVEST,False
229,9,F,SHEEP,999,0.0,1040.0,True,44,HARVEST,False
232,9,F,SHEEP,999,768.0,1410.0,True,40,HARVEST,False
243,10,F,COW,999,36.0,10427.0,True,70,WATER,False
244,10,H4,COW,116,110.0,10427.0,True,69,WATER,False
246,10,F,COW,999,332.0,17810.0,True,67,WATER,False
247,10,H2,COW,161,480.0,17810.0,True,64,WATER,False
247,10,H4,COW,113,480.0,17810.0,True,64,WATER,False
248,10,H3,SHEEP,999,592.0,17774.0,True,59,WATER,False
250,10,H4,COW,158,777.0,17589.0,True,52,WATER,False
252,10,H3,COW,60,925.0,17406.0,True,45,WATER,False
254,10,H4,SHEEP,58,4562.0,17263.0,True,40,WATER,False
268,11,H0,COW,92,152.0,5071.0,True,49,WATER,False
270,11,H7,COW,138,418.0,8327.0,True,47,WATER,False
271,11,H0,COW,89,608.0,8327.0,True,44,WATER,False
271,11,H1,SHEEP,137,608.0,8327.0,True,44,WATER,False
271,11,H12,COW,137,608.0,8327.0,True,44,WATER,False
272,11,F,COW,999,760.0,8251.0,True,41,WATER,False
275,11,F,COW,999,1178.0,7909.0,True,36,WATER,False
276,11,H1,SHEEP,132,1261.0,7839.0,True,36,WATER,False
291,12,F,COW,999,120.0,3765.0,True,93,WATER,False
292,12,H0,COW,68,240.0,3903.0,True,91,WATER,False
292,12,H1,SHEEP,116,240.0,3903.0,True,91,WATER,False
293,12,H3,SHEEP,999,480.0,5133.0,True,90,WATER,False
294,12,F,COW,999,640.0,5133.0,True,88,WATER,False
294,12,H4,COW,114,640.0,5133.0,True,88,WATER,False
295,12,H0,COW,65,720.0,5133.0,True,86,WATER,False
295,12,H1,SHEEP,113,720.0,5133.0,True,86,WATER,False
296,12,H3,SHEEP,999,760.0,5013.0,True,86,WATER,False
298,12,H0,COW,110,520.0,4653.0,True,79,WATER,False
316,13,H1,SHEEP,92,0.0,0.0,True,94,WATER,False
317,13,H4,SHEEP,999,0.0,3531.0,True,92,WATER,False
318,13,H3,COW,999,0.0,3531.0,True,90,WATER,False
319,13,H1,SHEEP,89,0.0,3531.0,True,87,WATER,False
320,13,H4,SHEEP,999,0.0,3531.0,True,84,WATER,False
321,13,F,COW,999,0.0,3531.0,True,80,WATER,False
322,13,H0,COW,86,0.0,3531.0,True,76,WATER,False
325,13,H4,COW,83,0.0,3699.0,True,65,WATER,False
339,14,F,COW,999,42.0,2689.0,True,95,WATER,False
341,14,H3,SHEEP,67,336.0,3548.0,True,93,WATER,False
342,14,F,COW,999,504.0,3548.0,True,91,WATER,False
343,14,H2,COW,65,672.0,3548.0,True,88,WATER,False
344,14,H3,SHEEP,64,845.0,3506.0,True,87,WATER,False
346,14,H4,COW,62,1067.0,3212.0,True,82,WATER,False
353,14,H4,SHEEP,999,727.0,1586.0,True,71,WATER,False
363,15,F,COW,999,0.0,1176.0,True,100,WATER,False
364,15,H0,COW,999,0.0,1290.0,True,98,WATER,False
366,15,F,COW,999,0.0,4062.0,True,94,WATER,False
366,15,H3,COW,999,0.0,4062.0,True,94,WATER,False
367,15,H0,COW,999,0.0,4062.0,True,90,WATER,False
367,15,H9,SHEEP,999,0.0,4062.0,True,90,WATER,False
369,15,F,COW,999,0.0,5022.0,True,82,WATER,False
374,15,F,SHEEP,999,1176.0,5472.0,True,53,WATER,False
387,16,F,COW,999,1005.0,3091.0,True,97,WATER,False
390,16,F,COW,999,675.0,2961.0,True,91,WATER,False
390,16,H2,SHEEP,999,675.0,2961.0,True,91,WATER,False
401,16,H4,SHEEP,999,525.0,1835.0,True,68,WATER,False
412,17,H0,COW,999,0.0,4789.0,True,105,WATER,False
412,17,H1,SHEEP,999,0.0,4789.0,True,105,WATER,False
414,17,H3,COW,999,0.0,6953.0,True,101,WATER,False
415,17,H0,COW,137,0.0,6953.0,True,97,WATER,False
415,17,H1,SHEEP,999,0.0,6953.0,True,97,WATER,False
416,17,H4,COW,999,0.0,6953.0,True,93,WATER,False
417,17,F,COW,999,0.0,6953.0,True,88,WATER,False
418,17,H0,COW,999,0.0,6953.0,True,84,WATER,False
435,18,F,COW,999,47.0,4568.0,True,101,WATER,False
437,18,H3,SHEEP,999,470.0,5576.0,True,99,WATER,False
438,18,F,COW,999,705.0,5576.0,True,96,WATER,False
438,18,H0,SHEEP,999,705.0,5576.0,True,96,WATER,False
441,18,H0,SHEEP,999,1034.0,5341.0,True,84,WATER,False
460,19,H0,COW,999,146.0,7004.0,True,113,WATER,False
461,19,H4,SHEEP,999,342.0,10650.0,True,110,WATER,False
462,19,H3,COW,999,538.0,10650.0,True,108,WATER,False
463,19,H0,COW,89,734.0,10650.0,True,105,WATER,False
464,19,H4,COW,999,931.0,10602.0,True,100,WATER,False
465,19,F,COW,999,1127.0,10504.0,True,96,WATER,False
466,19,H0,COW,999,1239.0,10308.0,True,91,WATER,False
470,19,H0,SHEEP,999,3272.0,10177.0,True,71,WATER,False
483,20,F,COW,999,200.0,1150.0,True,102,WATER,False
484,20,H1,SHEEP,999,500.0,2652.0,True,101,WATER,False
486,20,F,COW,999,1150.0,4546.0,True,97,WATER,False
487,20,H1,SHEEP,999,1150.0,4546.0,True,96,WATER,False
491,20,H0,COW,999,0.0,3396.0,True,76,WATER,False
507,21,F,COW,999,0.0,11807.0,True,137,HARVEST,False
508,21,H0,COW,999,0.0,11807.0,True,135,HARVEST,False
508,21,H1,SHEEP,999,0.0,11807.0,True,135,HARVEST,False
509,21,H3,SHEEP,999,0.0,12683.0,True,134,HARVEST,False
511,21,H1,SHEEP,999,288.0,12683.0,True,127,HARVEST,False
512,21,H3,COW,999,288.0,12683.0,True,124,HARVEST,False
513,21,F,COW,999,288.0,12683.0,True,117,HARVEST,False
513,21,H4,COW,999,288.0,12683.0,True,117,HARVEST,False
514,21,H0,COW,999,538.0,12683.0,True,110,HARVEST,False
517,21,F,SHEEP,999,857.0,12858.0,True,91,HARVEST,False
531,22,F,COW,999,255.0,3199.0,True,109,WATER,False
533,22,H4,SHEEP,999,827.0,8973.0,True,105,WATER,False
534,22,F,COW,999,1087.0,9072.0,True,103,WATER,False
536,22,H4,SHEEP,999,1248.0,8817.0,True,100,WATER,False
536,22,H8,COW,999,1248.0,8817.0,True,100,WATER,False
538,22,H0,COW,999,676.0,8245.0,True,90,WATER,False
555,23,F,COW,999,0.0,3885.0,True,129,HARVEST,False
556,23,H0,COW,999,0.0,3885.0,True,127,HARVEST,False
556,23,H1,SHEEP,999,0.0,3885.0,True,127,HARVEST,False
558,23,H3,COW,999,0.0,7896.0,True,123,HARVEST,False
559,23,H0,COW,999,0.0,7896.0,True,120,HARVEST,False
559,23,H1,SHEEP,999,0.0,7896.0,True,120,HARVEST,False
560,23,H8,COW,999,0.0,7896.0,True,112,HARVEST,False
561,23,F,COW,999,0.0,7896.0,True,110,HARVEST,False
562,23,H0,COW,999,0.0,7896.0,True,108,HARVEST,False
577,24,F,COW,999,0.0,3127.0,True,108,WATER,False
580,24,H0,COW,999,486.0,3749.0,True,103,WATER,False
581,24,H3,SHEEP,999,756.0,5715.0,True,100,WATER,False
582,24,F,COW,999,864.0,5956.0,True,98,WATER,False
584,24,H3,SHEEP,999,1026.0,5740.0,True,89,WATER,False
604,25,H0,COW,999,0.0,2131.0,True,130,HARVEST,False
605,25,H4,SHEEP,999,0.0,3085.0,True,127,HARVEST,False
607,25,H0,COW,999,0.0,3085.0,True,123,HARVEST,False
608,25,H4,SHEEP,999,888.0,3085.0,True,115,HARVEST,False
609,25,F,COW,999,888.0,3085.0,True,112,HARVEST,False
610,25,H0,COW,999,888.0,3085.0,True,111,HARVEST,False
612,25,H3,COW,999,888.0,3309.0,True,101,HARVEST,False
612,25,H4,COW,999,888.0,3309.0,True,101,HARVEST,False
627,26,F,COW,999,224.0,1547.0,True,108,WATER,False
628,26,H1,SHEEP,999,392.0,2575.0,True,106,WATER,False
630,26,F,COW,999,952.0,4689.0,True,102,WATER,False
631,26,H1,SHEEP,999,1400.0,4689.0,True,100,WATER,False
632,26,H4,SHEEP,999,1176.0,4465.0,True,94,WATER,False
652,27,H0,COW,999,0.0,2036.0,True,134,HARVEST,False
652,27,H1,SHEEP,999,0.0,2036.0,True,134,HARVEST,False
653,27,H3,SHEEP,999,0.0,4324.0,True,132,HARVEST,False
655,27,H0,COW,999,0.0,4324.0,True,129,HARVEST,False
656,27,H3,SHEEP,999,0.0,4324.0,True,124,HARVEST,False
656,27,H6,COW,999,0.0,4324.0,True,124,HARVEST,False
657,27,F,COW,999,0.0,4324.0,True,123,HARVEST,False
658,27,H0,COW,999,0.0,4324.0,True,116,HARVEST,False
660,27,H3,COW,999,0.0,4324.0,True,108,HARVEST,False
675,28,F,COW,999,0.0,3371.0,True,103,HARVEST,False
677,28,H3,SHEEP,999,0.0,6874.0,True,97,HARVEST,False
677,28,H4,SHEEP,999,0.0,6874.0,True,97,HARVEST,False
678,28,F,COW,999,0.0,7153.0,True,94,HARVEST,False
680,28,H3,SHEEP,999,0.0,7848.0,True,89,HARVEST,False
680,28,H4,SHEEP,999,0.0,7848.0,True,89,HARVEST,False
7,0,H0,COW,185,157.0,529.0,False,0,NONE,True
7,0,H2,COW,185,157.0,529.0,False,0,NONE,True
7,0,H3,COW,185,157.0,529.0,False,0,NONE,True
10,0,H0,COW,182,155.0,465.0,True,2,FEED,True
12,0,F,SHEEP,132,124.0,892.0,True,4,HARVEST,True
19,0,H0,COW,173,93.0,675.0,True,9,HARVEST,True
27,1,H0,COW,165,520.0,520.0,True,37,HARVEST,True
29,1,H0,COW,163,520.0,815.0,True,37,HARVEST,True
29,1,H1,COW,163,520.0,815.0,True,37,HARVEST,True
30,1,H3,SHEEP,114,520.0,815.0,True,37,HARVEST,True
51,2,H0,COW,141,0.0,359.0,True,39,HARVEST,True
53,2,H0,COW,139,0.0,359.0,True,39,HARVEST,True
53,2,H1,COW,139,0.0,359.0,True,39,HARVEST,True
54,2,H3,SHEEP,90,0.0,875.0,True,39,HARVEST,True
75,3,H0,COW,117,4718.0,5747.0,True,41,HARVEST,True
77,3,H0,COW,115,2673.0,3764.0,True,41,HARVEST,True
77,3,H1,COW,115,2673.0,3764.0,True,41,HARVEST,True
78,3,H3,SHEEP,66,1065.0,2222.0,True,41,HARVEST,True
99,4,H0,COW,93,0.0,188.0,True,41,HARVEST,True
101,4,H0,COW,91,0.0,1343.0,True,41,HARVEST,True
101,4,H1,COW,91,0.0,1343.0,True,41,HARVEST,True
123,5,H0,COW,69,0.0,217.0,True,39,WATER,True
125,5,H0,COW,67,0.0,587.0,True,39,WATER,True
125,5,H1,COW,67,0.0,587.0,True,39,WATER,True
133,5,H1,COW,179,31.0,587.0,True,30,HARVEST,True
137,5,H1,SHEEP,127,186.0,556.0,True,24,HARVEST,True
151,6,H2,SHEEP,65,0.0,2436.0,True,39,WATER,True
152,6,H3,COW,160,0.0,2436.0,True,38,WATER,True
156,6,H3,SHEEP,108,1436.0,2616.0,True,30,HARVEST,True
175,7,H4,COW,137,0.0,1785.0,True,43,WATER,True
175,7,H5,SHEEP,89,0.0,1785.0,True,43,WATER,True
183,7,H1,COW,177,156.0,5419.0,True,29,HARVEST,True
200,8,H1,COW,112,0.0,1168.0,True,56,WATER,True
201,8,H2,SHEEP,63,0.0,1168.0,True,55,WATER,True
203,8,H3,SHEEP,133,0.0,1168.0,True,52,WATER,True
207,8,H7,SHEEP,129,0.0,1276.0,True,42,HARVEST,True
208,8,H1,COW,152,0.0,1276.0,True,40,HARVEST,True
212,8,H5,SHEEP,124,853.0,2368.0,True,31,HARVEST,True
214,8,H8,SHEEP,122,1168.0,2368.0,True,29,HARVEST,True
218,9,H0,SHEEP,118,315.0,1767.0,True,63,WATER,True
221,9,H0,SHEEP,115,108.0,2194.0,True,62,WATER,True
223,9,H7,SHEEP,113,108.0,2650.0,True,52,WATER,True
223,9,H10,SHEEP,113,108.0,2650.0,True,52,WATER,True
224,9,H5,SHEEP,64,0.0,2542.0,True,52,WATER,True
224,9,H6,COW,88,0.0,2542.0,True,52,WATER,True
234,9,H6,COW,126,420.0,1450.0,True,39,HARVEST,True
242,10,H0,SHEEP,94,456.0,9612.0,True,69,WATER,True
244,10,H5,COW,999,0.0,12815.0,True,68,WATER,True
245,10,H0,SHEEP,91,0.0,21083.0,True,68,WATER,True
245,10,H4,SHEEP,91,0.0,21083.0,True,68,WATER,True
246,10,H8,COW,999,0.0,21083.0,True,67,WATER,True
247,10,H11,SHEEP,89,0.0,21083.0,True,66,WATER,True
248,10,H4,COW,160,0.0,21083.0,True,63,WATER,True
248,10,H6,COW,64,0.0,21083.0,True,63,WATER,True
254,10,H5,COW,106,4176.0,22325.0,True,48,WATER,True
266,11,H0,SHEEP,70,1242.0,2513.0,True,58,WATER,True
269,11,H0,SHEEP,67,1242.0,3608.0,True,57,WATER,True
271,11,H5,COW,185,0.0,2366.0,True,58,WATER,True
271,11,H10,SHEEP,65,0.0,2366.0,True,58,WATER,True
271,11,H11,SHEEP,65,0.0,2366.0,True,58,WATER,True
274,11,H10,COW,134,0.0,6613.0,True,50,WATER,True
277,11,H5,COW,179,1194.0,17160.0,True,42,WATER,True
278,11,H6,COW,82,1194.0,18718.0,True,40,WATER,True
278,11,H8,SHEEP,58,1194.0,18718.0,True,40,WATER,True
290,12,H1,COW,166,7412.0,32445.0,True,69,WATER,True
294,12,H7,COW,999,12251.0,28946.0,True,67,WATER,True
295,12,H9,COW,999,11326.0,25781.0,True,67,WATER,True
297,12,H6,COW,111,6309.0,18399.0,True,60,WATER,True
297,12,H7,SHEEP,63,6309.0,18399.0,True,60,WATER,True
298,12,H11,COW,158,7874.0,16841.0,True,57,WATER,True
302,12,H7,COW,58,8270.0,12090.0,True,47,WATER,True
314,13,H1,COW,142,0.0,2680.0,True,68,WATER,True
322,13,H7,COW,134,1890.0,5536.0,True,56,WATER,True
322,13,H10,COW,86,1890.0,5536.0,True,56,WATER,True
338,14,H1,COW,118,986.0,10841.0,True,88,WATER,True
339,14,H2,SHEEP,69,1972.0,12185.0,True,86,WATER,True
342,14,H6,SHEEP,66,3811.0,16856.0,True,84,WATER,True
343,14,H9,COW,999,4667.0,18557.0,True,83,WATER,True
343,14,H10,SHEEP,65,4667.0,18557.0,True,83,WATER,True
343,14,H11,COW,999,4667.0,18557.0,True,83,WATER,True
344,14,H8,SHEEP,64,6343.0,17571.0,True,80,WATER,True
346,14,H10,COW,62,3788.0,18093.0,True,73,WATER,True
347,14,H11,SHEEP,61,3518.0,18579.0,True,69,WATER,True
348,14,H9,COW,108,2662.0,20044.0,True,65,WATER,True
362,15,H1,COW,94,5534.0,15327.0,True,81,WATER,True
369,15,H11,COW,999,4908.0,14676.0,True,74,WATER,True
370,15,H6,SHEEP,62,5284.0,14676.0,True,69,WATER,True
372,15,H9,COW,84,1552.0,18018.0,True,62,WATER,True
386,16,H1,COW,70,2288.0,11290.0,True,85,WATER,True
391,16,H9,COW,999,8250.0,14790.0,True,83,WATER,True
397,16,H0,COW,59,658.0,9565.0,True,64,WATER,True
411,17,H0,SHEEP,69,2081.0,11399.0,True,92,WATER,True
414,17,H2,SHEEP,66,4712.0,11342.0,True,90,WATER,True
414,17,H3,SHEEP,66,4712.0,11342.0,True,90,WATER,True
416,17,H9,SHEEP,64,2832.0,12282.0,True,88,WATER,True
420,17,F,COW,999,6437.0,17134.0,True,74,WATER,True
427,17,H7,COW,999,49.0,35528.0,True,50,WATER,True
440,18,H4,COW,999,15249.0,30293.0,True,86,WATER,True
441,18,H10,SHEEP,63,22424.0,29325.0,True,86,WATER,True
465,19,H11,COW,999,13170.0,46658.0,True,86,WATER,True
466,19,H10,COW,999,10697.0,45700.0,True,83,WATER,True
473,19,H5,COW,999,9546.0,40461.0,True,52,WATER,True
483,20,H0,SHEEP,69,12683.0,27384.0,True,96,WATER,True
486,20,H2,SHEEP,66,10886.0,32607.0,True,94,WATER,True
486,20,H3,SHEEP,66,10886.0,32607.0,True,94,WATER,True
488,20,H9,SHEEP,64,4829.0,26165.0,True,92,WATER,True
488,20,H10,COW,999,4829.0,26165.0,True,92,WATER,True
488,20,H11,COW,999,4829.0,26165.0,True,92,WATER,True
492,20,H11,SHEEP,60,5065.0,23613.0,True,74,WATER,True
506,21,H1,COW,999,1632.0,8072.0,True,93,WATER,True
513,21,H11,SHEEP,63,1066.0,27066.0,True,85,WATER,True
514,21,H10,COW,999,2359.0,26676.0,True,82,WATER,True
516,21,H8,COW,999,3115.0,29016.0,True,72,WATER,True
523,21,H6,COW,999,11332.0,55774.0,True,44,WATER,True
535,22,H9,COW,999,17344.0,49382.0,True,92,WATER,True
554,23,H1,COW,999,69.0,33729.0,True,100,WATER,True
555,23,H0,SHEEP,69,267.0,33694.0,True,98,WATER,True
558,23,H2,SHEEP,66,13277.0,44709.0,True,96,WATER,True
559,23,H6,SHEEP,65,14909.0,56725.0,True,95,WATER,True
560,23,H10,SHEEP,64,15705.0,56492.0,True,91,WATER,True
562,23,H6,COW,999,16914.0,50210.0,True,84,WATER,True
562,23,H11,SHEEP,62,16914.0,50210.0,True,84,WATER,True
583,24,H11,COW,999,330.0,23909.0,True,83,WATER,True
585,24,H9,SHEEP,63,1092.0,24547.0,True,76,WATER,True
602,25,H1,COW,999,4268.0,31267.0,True,74,WATER,True
609,25,H6,COW,999,12011.0,31780.0,True,65,WATER,True
611,25,H1,COW,999,10302.0,29679.0,True,56,WATER,True
613,25,H0,COW,999,12529.0,35086.0,True,50,WATER,True
618,25,H2,COW,999,3076.0,43461.0,True,34,WATER,True
626,26,H8,SHEEP,70,460.0,32953.0,True,66,HARVEST,True
629,26,H8,SHEEP,67,19500.0,32493.0,True,60,WATER,True
629,26,H10,SHEEP,67,19500.0,32493.0,True,60,WATER,True
630,26,H7,SHEEP,999,19500.0,36668.0,True,63,WATER,True
632,26,H0,SHEEP,999,11958.0,31255.0,True,56,WATER,True
658,27,F,COW,999,6226.0,26851.0,True,94,HARVEST,True
7,0,H0,COW,185,157.0,529.0,False,0,NONE,False
7,0,H2,COW,185,157.0,529.0,False,0,NONE,False
7,0,H3,COW,185,157.0,529.0,False,0,NONE,False
10,0,H0,COW,182,155.0,465.0,True,2,FEED,False
12,0,F,SHEEP,132,124.0,892.0,True,4,HARVEST,False
19,0,H0,COW,173,93.0,675.0,True,9,HARVEST,False
27,1,H0,COW,165,520.0,520.0,True,37,HARVEST,False
29,1,H0,COW,163,520.0,815.0,True,37,HARVEST,False
