w_ds5,l_ds5,w_ttn,l_ttn,w_tslc,l_tslc,animal,day
0.0,30.0,5,45,33,23,COW,11
2240.0,30.0,27,45,31,23,COW,11
2240.0,30.0,2,45,34,23,COW,11
2240.0,429.0,2,135,32,999,SHEEP,11
2240.0,429.0,73,135,39,999,SHEEP,11
2240.0,30.0,169,45,999,23,COW,11
1464.0,429.0,67,135,14,999,SHEEP,12
1464.0,429.0,67,135,12,999,SHEEP,12
1464.0,0.0,113,21,46,24,COW,12
146.0,0.0,158,21,999,24,COW,12
146.0,0.0,158,21,999,24,COW,12
290.0,0.0,109,21,51,24,COW,12
434.0,0.0,36,21,18,24,COW,12
434.0,0.0,36,21,17,24,COW,12
434.0,429.0,60,135,14,999,SHEEP,12
1133.0,0.0,155,21,14,24,COW,12
1133.0,0.0,11,21,16,24,COW,12
1204.0,429.0,106,135,999,999,SHEEP,12
1129.0,0.0,9,21,52,24,COW,12
1879.0,429.0,103,135,999,999,SHEEP,12
1879.0,0.0,31,21,19,24,COW,12
1180.0,429.0,54,135,19,999,SHEEP,12
0.0,0.0,83,19,23,13,SHEEP,13
134.0,0.0,128,164,27,999,COW,13
134.0,0.0,128,164,30,999,COW,13
134.0,0.0,31,164,26,999,COW,13
134.0,0.0,79,164,30,999,COW,13
134.0,0.0,31,19,36,13,SHEEP,13
1010.0,0.0,30,164,29,999,COW,13
1010.0,0.0,78,164,35,999,COW,13
1009.0,0.0,125,164,33,999,COW,13
1941.0,0.0,4,164,27,999,COW,13
1874.0,0.0,3,164,33,999,COW,13
1874.0,0.0,3,164,33,999,COW,13
1874.0,0.0,27,19,27,13,SHEEP,13
1874.0,0.0,26,19,41,13,SHEEP,13
932.0,0.0,24,19,36,13,SHEEP,13
0.0,0.0,20,91,11,16,SHEEP,14
0.0,0.0,20,91,6,16,SHEEP,14
588.0,0.0,65,21,13,24,COW,14
588.0,0.0,64,21,15,24,COW,14
588.0,0.0,64,91,19,16,SHEEP,14
588.0,0.0,16,91,11,16,SHEEP,14
588.0,0.0,15,21,15,24,COW,14
588.0,0.0,39,21,12,24,COW,14
588.0,0.0,110,21,18,24,COW,14
588.0,0.0,133,91,999,16,SHEEP,14
588.0,0.0,109,21,19,24,COW,14
0.0,0.0,107,21,18,24,COW,14
61.0,0.0,9,91,15,16,SHEEP,14
716.0,0.0,7,21,24,24,COW,14
1430.0,0.0,28,21,23,24,COW,14
1430.0,0.0,52,91,51,16,SHEEP,14
653.0,0.0,24,21,28,24,COW,14
0.0,221.0,66,43,26,13,SHEEP,15
600.0,110.0,83,116,24,17,COW,15
600.0,221.0,35,43,29,13,SHEEP,15
600.0,110.0,82,116,27,17,COW,15
600.0,221.0,34,43,18,13,SHEEP,15
600.0,110.0,34,116,31,17,COW,15
2576.0,110.0,33,116,31,17,COW,15
2576.0,221.0,104,43,29,13,SHEEP,15
3276.0,110.0,79,116,31,17,COW,15
3276.0,221.0,54,43,38,13,SHEEP,15
6829.0,110.0,4,116,20,17,COW,15
7103.0,110.0,27,116,36,17,COW,15
6403.0,110.0,2,116,37,17,COW,15
6403.0,110.0,2,116,26,17,COW,15
6403.0,110.0,25,116,30,17,COW,15
6403.0,221.0,49,43,32,13,SHEEP,15
0.0,266.0,44,19,10,24,SHEEP,16
0.0,152.0,18,92,16,24,COW,16
274.0,152.0,63,92,16,24,COW,16
274.0,266.0,15,19,20,24,SHEEP,16
274.0,266.0,38,19,50,24,SHEEP,16
274.0,266.0,13,19,21,24,SHEEP,16
0.0,152.0,58,92,24,24,COW,16
0.0,152.0,34,92,16,24,COW,16
0.0,266.0,82,19,22,24,SHEEP,16
2620.0,266.0,31,19,35,24,SHEEP,16
2620.0,152.0,7,92,18,24,COW,16
2672.0,152.0,54,92,29,24,COW,16
7801.0,266.0,28,19,21,24,SHEEP,16
7801.0,152.0,4,92,29,24,COW,16
5233.0,152.0,3,92,24,24,COW,16
5181.0,152.0,26,92,24,24,COW,16
5129.0,152.0,24,92,28,24,COW,16
0.0,240.0,20,116,11,21,SHEEP,17
0.0,240.0,18,116,10,21,SHEEP,17
1976.0,240.0,38,68,13,24,COW,17
1976.0,240.0,37,68,18,24,COW,17
1654.0,240.0,35,68,19,24,COW,17
2528.0,240.0,8,68,16,24,COW,17
3414.0,240.0,29,68,34,24,COW,17
9415.0,240.0,28,68,38,24,COW,17
9415.0,240.0,28,68,24,24,COW,17
9415.0,240.0,4,116,40,21,SHEEP,17
9415.0,240.0,4,116,34,21,SHEEP,17
7423.0,240.0,50,116,32,21,SHEEP,17
7423.0,240.0,2,68,24,24,COW,17
7423.0,240.0,24,68,34,24,COW,17
7423.0,240.0,999,68,34,24,COW,17
0.0,0.0,15,21,9,24,COW,18
0.0,0.0,35,92,52,24,SHEEP,18
1098.0,0.0,10,21,27,24,COW,18
1098.0,0.0,34,92,51,24,SHEEP,18
1098.0,0.0,9,21,26,24,COW,18
1098.0,0.0,9,21,29,24,COW,18
1098.0,0.0,8,21,21,24,COW,18
1143.0,0.0,31,21,17,24,COW,18
1143.0,0.0,30,21,26,24,COW,18
1143.0,0.0,54,92,22,24,SHEEP,18
45.0,0.0,53,92,39,24,SHEEP,18
1052.0,0.0,26,21,24,24,COW,18
1052.0,0.0,2,21,26,24,COW,18
1052.0,0.0,1,21,27,24,COW,18
1052.0,0.0,49,92,41,24,SHEEP,18
0.0,336.0,44,67,9,25,SHEEP,19
0.0,336.0,42,67,7,25,SHEEP,19
1219.0,168.0,38,20,19,24,COW,19
957.0,168.0,36,20,21,24,COW,19
957.0,168.0,12,20,18,24,COW,19
4783.0,336.0,9,67,41,25,SHEEP,19
9919.0,168.0,28,20,30,24,COW,19
8889.0,168.0,2,20,24,24,COW,19
0.0,0.0,16,44,60,23,SHEEP,20
0.0,0.0,15,38,23,24,COW,20
0.0,0.0,13,38,36,24,COW,20
0.0,0.0,61,44,20,23,SHEEP,20
1408.0,0.0,9,38,19,24,COW,20
2308.0,0.0,32,38,47,24,COW,20
900.0,0.0,55,44,52,23,SHEEP,20
900.0,0.0,54,44,52,23,SHEEP,20
900.0,0.0,6,44,38,23,SHEEP,20
1334.0,0.0,29,38,31,24,COW,20
1334.0,0.0,5,38,58,24,COW,20
1334.0,0.0,5,44,49,23,SHEEP,20
1812.0,0.0,26,38,24,24,COW,20
1812.0,0.0,2,44,40,23,SHEEP,20
1812.0,0.0,1,38,35,24,COW,20
1378.0,0.0,96,38,50,24,COW,20
1378.0,0.0,144,38,56,24,COW,20
2900.0,450.0,67,19,10,25,SHEEP,21
2900.0,450.0,67,19,11,25,SHEEP,21
2756.0,900.0,15,17,17,25,COW,21
7565.0,450.0,32,19,29,25,SHEEP,21
5838.0,900.0,5,17,24,25,COW,21
5943.0,450.0,51,19,37,25,SHEEP,21
4779.0,450.0,49,19,25,25,SHEEP,21
4779.0,450.0,25,19,29,25,SHEEP,21
0.0,0.0,40,43,27,23,SHEEP,22
0.0,0.0,15,43,10,23,SHEEP,22
0.0,0.0,13,43,42,23,SHEEP,22
0.0,0.0,35,43,16,23,SHEEP,22
1343.0,0.0,10,21,39,24,COW,22
1343.0,0.0,9,21,54,24,COW,22
1343.0,0.0,9,21,39,24,COW,22
2111.0,0.0,7,21,41,24,COW,22
2111.0,0.0,30,21,33,24,COW,22
2111.0,0.0,30,21,23,24,COW,22
2111.0,0.0,6,21,51,24,COW,22
2111.0,0.0,6,21,55,24,COW,22
768.0,0.0,29,21,45,24,COW,22
768.0,0.0,5,43,27,23,SHEEP,22
1338.0,0.0,28,43,21,23,SHEEP,22
1338.0,0.0,4,21,49,24,COW,22
570.0,0.0,27,43,40,23,SHEEP,22
0.0,705.0,21,18,19,25,SHEEP,23
258.0,705.0,20,18,7,25,SHEEP,23
258.0,705.0,19,18,9,25,SHEEP,23
1219.0,235.0,39,20,16,24,COW,23
2475.0,235.0,37,20,17,24,COW,23
2451.0,235.0,36,20,18,24,COW,23
2430.0,705.0,10,18,25,25,SHEEP,23
2430.0,705.0,58,18,27,25,SHEEP,23
4086.0,705.0,57,18,30,25,SHEEP,23
2826.0,705.0,56,18,21,25,SHEEP,23
0.0,734.0,67,17,26,26,SHEEP,24
0.0,734.0,67,17,25,26,SHEEP,24
0.0,734.0,66,17,25,26,SHEEP,24
0.0,734.0,39,17,19,26,SHEEP,24
0.0,48.0,14,21,43,24,COW,24
0.0,734.0,62,17,20,26,SHEEP,24
0.0,734.0,37,17,20,26,SHEEP,24
440.0,48.0,35,21,43,24,COW,24
440.0,48.0,11,21,47,24,COW,24
440.0,48.0,11,21,41,24,COW,24
440.0,48.0,10,21,26,24,COW,24
58.0,48.0,7,21,32,24,COW,24
470.0,48.0,30,21,47,24,COW,24
716.0,48.0,5,21,52,24,COW,24
2359.0,734.0,24,17,32,26,SHEEP,24
2359.0,48.0,24,21,54,24,COW,24
0.0,800.0,45,19,22,13,SHEEP,25
0.0,800.0,44,19,23,13,SHEEP,25
49.0,800.0,43,19,23,13,SHEEP,25
96.0,800.0,41,19,21,25,COW,25
538.0,800.0,40,19,15,25,COW,25
1812.0,800.0,15,19,24,13,SHEEP,25
1763.0,800.0,38,19,21,25,COW,25
1763.0,800.0,38,19,47,25,COW,25
1877.0,800.0,11,19,13,25,COW,25
1877.0,800.0,11,19,13,13,SHEEP,25
1877.0,800.0,11,19,26,13,SHEEP,25
603.0,800.0,34,19,24,25,COW,25
1069.0,800.0,30,19,29,25,COW,25
1069.0,800.0,30,19,32,13,SHEEP,25
1069.0,800.0,5,19,30,25,COW,25
1069.0,800.0,5,19,25,25,COW,25
0.0,0.0,21,18,24,24,SHEEP,26
0.0,0.0,20,18,24,24,SHEEP,26
0.0,0.0,19,18,24,24,SHEEP,26
0.0,0.0,18,18,12,24,SHEEP,26
1376.0,0.0,38,18,21,24,COW,26
1376.0,0.0,14,18,39,24,COW,26
1399.0,0.0,61,18,26,24,SHEEP,26
1399.0,0.0,61,18,22,24,SHEEP,26
1399.0,0.0,13,18,25,24,COW,26
1567.0,0.0,12,18,26,24,COW,26
1567.0,0.0,12,18,22,24,COW,26
1567.0,0.0,60,18,23,24,SHEEP,26
390.0,0.0,35,18,18,24,COW,26
390.0,0.0,10,18,20,24,COW,26
390.0,0.0,10,18,30,24,COW,26
411.0,0.0,9,18,32,24,COW,26
241.0,0.0,31,18,22,24,COW,26
343.0,463.0,999,20,24,24,SHEEP,27
343.0,463.0,999,20,25,24,SHEEP,27
935.0,463.0,42,20,16,24,COW,27
1570.0,463.0,999,20,26,24,SHEEP,27
1688.0,463.0,40,20,21,24,SHEEP,27
2584.0,463.0,39,20,18,24,COW,27
2584.0,463.0,999,20,27,24,SHEEP,27
1706.0,463.0,38,20,24,24,COW,27
1706.0,463.0,38,20,23,24,COW,27
1706.0,463.0,14,20,21,24,COW,27
1706.0,463.0,37,20,23,24,SHEEP,27
1706.0,463.0,37,20,23,24,COW,27
1485.0,463.0,12,20,26,24,COW,27
694.0,463.0,29,20,31,24,COW,27
694.0,463.0,28,20,33,24,SHEEP,27
21.0,463.0,2,20,29,24,COW,27
0.0,0.0,999,43,23,24,SHEEP,28
0.0,0.0,999,43,24,24,SHEEP,28
0.0,0.0,18,43,19,24,SHEEP,28
0.0,0.0,999,43,23,24,SHEEP,28
8.0,0.0,15,43,25,24,SHEEP,28
8.0,0.0,999,43,24,24,SHEEP,28
32.0,0.0,14,43,14,24,SHEEP,28
132.0,0.0,13,18,25,24,COW,28
132.0,0.0,13,18,16,24,COW,28
131.0,0.0,12,18,26,24,COW,28
131.0,0.0,10,18,32,24,COW,28
143.0,0.0,9,18,49,24,COW,28
143.0,0.0,9,18,30,24,COW,28
43.0,0.0,999,18,28,24,COW,28
36.0,0.0,7,18,30,24,COW,28
46.0,0.0,999,18,32,24,COW,28
46.0,0.0,999,18,20,24,COW,28
157.0,0.0,185,167,999,999,COW,0
157.0,0.0,185,167,0,999,COW,0
157.0,0.0,185,167,0,999,COW,0
155.0,0.0,182,167,999,999,COW,0
124.0,0.0,132,136,999,999,SHEEP,0
93.0,0.0,173,167,999,999,COW,0
520.0,0.0,165,167,20,999,COW,1
520.0,0.0,163,167,19,999,COW,1
520.0,0.0,163,167,10,999,COW,1
520.0,0.0,114,136,18,999,SHEEP,1
0.0,0.0,141,167,24,999,COW,2
0.0,0.0,139,167,24,999,COW,2
0.0,0.0,139,167,24,999,COW,2
0.0,0.0,90,136,24,999,SHEEP,2
4718.0,0.0,117,167,24,999,COW,3
2673.0,0.0,115,167,24,999,COW,3
2673.0,0.0,115,167,24,999,COW,3
1065.0,0.0,66,136,24,999,SHEEP,3
0.0,0.0,93,167,24,999,COW,4
0.0,0.0,91,167,24,999,COW,4
0.0,0.0,91,167,24,999,COW,4
0.0,0.0,42,136,24,999,SHEEP,4
0.0,0.0,69,167,24,999,COW,5
0.0,0.0,67,167,24,999,COW,5
0.0,0.0,67,167,24,999,COW,5
0.0,0.0,17,136,25,999,SHEEP,5
31.0,0.0,179,167,999,999,COW,5
186.0,0.0,127,136,999,999,SHEEP,5
0.0,0.0,45,167,24,999,COW,6
0.0,0.0,43,167,24,999,COW,6
0.0,0.0,43,167,24,999,COW,6
0.0,154.0,65,999,24,16,SHEEP,6
0.0,0.0,160,167,19,999,COW,6
1436.0,0.0,108,111,19,20,SHEEP,6
180.0,217.0,20,141,25,26,COW,7
180.0,217.0,19,141,24,26,COW,7
180.0,217.0,19,141,24,26,COW,7
0.0,248.0,41,92,24,17,SHEEP,7
0.0,217.0,137,141,23,26,COW,7
0.0,248.0,89,92,19,17,SHEEP,7
156.0,217.0,177,141,999,26,COW,7
2250.0,0.0,44,117,24,24,COW,8
2250.0,0.0,42,117,25,24,COW,8
2250.0,0.0,42,117,25,24,COW,8
0.0,96.0,17,63,24,26,SHEEP,8
0.0,0.0,112,117,25,24,COW,8
0.0,96.0,63,63,26,26,SHEEP,8
0.0,96.0,133,63,999,26,SHEEP,8
0.0,96.0,129,63,999,26,SHEEP,8
0.0,0.0,152,117,25,24,COW,8
853.0,96.0,124,63,999,26,SHEEP,8
1168.0,96.0,122,63,999,26,SHEEP,8
315.0,165.0,118,43,15,17,SHEEP,9
108.0,165.0,115,43,14,17,SHEEP,9
108.0,66.0,19,93,25,24,COW,9
108.0,66.0,18,93,24,24,COW,9
108.0,66.0,18,93,24,24,COW,9
108.0,165.0,113,43,9,17,SHEEP,9
108.0,165.0,113,43,11,17,SHEEP,9
0.0,0.0,64,999,25,29,SHEEP,9
0.0,66.0,88,93,24,24,COW,9
1092.0,165.0,36,43,27,17,SHEEP,9
420.0,66.0,126,93,26,24,COW,9
456.0,0.0,94,14,24,26,SHEEP,10
0.0,36.0,999,999,23,24,COW,10
0.0,0.0,91,14,24,26,SHEEP,10
0.0,0.0,91,14,22,26,SHEEP,10
0.0,36.0,42,999,24,24,COW,10
0.0,36.0,999,999,24,24,COW,10
0.0,0.0,89,14,24,26,SHEEP,10
0.0,0.0,160,68,999,25,COW,10
0.0,0.0,64,68,24,25,COW,10
0.0,0.0,40,14,24,26,SHEEP,10
0.0,0.0,15,14,21,26,SHEEP,10
4176.0,0.0,106,68,20,25,COW,10
1242.0,429.0,70,135,24,999,SHEEP,11
1242.0,429.0,67,135,24,999,SHEEP,11
1242.0,30.0,19,45,25,23,COW,11
0.0,30.0,18,45,24,23,COW,11
0.0,30.0,185,45,999,23,COW,11
0.0,429.0,65,135,26,999,SHEEP,11
0.0,429.0,65,135,24,999,SHEEP,11
0.0,30.0,16,45,26,23,COW,11
0.0,429.0,16,135,24,999,SHEEP,11
0.0,30.0,134,45,26,23,COW,11
0.0,30.0,37,45,27,23,COW,11
1194.0,30.0,179,45,999,23,COW,11
1194.0,30.0,82,45,24,23,COW,11
1194.0,154.0,58,999,29,16,SHEEP,11
7412.0,429.0,46,135,24,999,SHEEP,12
7412.0,0.0,166,21,19,24,COW,12
12105.0,36.0,43,999,24,24,COW,12
12105.0,429.0,43,135,24,999,SHEEP,12
12251.0,429.0,42,135,23,999,SHEEP,12
12251.0,36.0,999,999,24,24,COW,12
11326.0,36.0,999,999,23,24,COW,12
6051.0,429.0,40,135,25,999,SHEEP,12
6309.0,0.0,111,21,23,24,COW,12
6309.0,429.0,63,135,25,999,SHEEP,12
7874.0,0.0,14,21,23,24,COW,12
7874.0,0.0,158,21,21,24,COW,12
7728.0,429.0,37,135,21,999,SHEEP,12
8270.0,0.0,58,21,24,24,COW,12
0.0,0.0,22,19,24,13,SHEEP,13
0.0,0.0,142,164,24,999,COW,13
0.0,0.0,19,164,24,999,COW,13
0.0,0.0,19,19,24,13,SHEEP,13
0.0,0.0,18,164,24,999,COW,13
844.0,0.0,17,19,23,13,SHEEP,13
844.0,0.0,17,19,25,13,SHEEP,13
844.0,0.0,17,164,24,999,COW,13
1058.0,0.0,40,19,23,13,SHEEP,13
1890.0,0.0,38,164,24,999,COW,13
1890.0,0.0,134,164,24,999,COW,13
1890.0,0.0,86,164,25,999,COW,13
1890.0,0.0,13,19,24,13,SHEEP,13
90.0,0.0,32,164,26,999,COW,13
986.0,0.0,118,21,24,24,COW,14
1972.0,0.0,69,91,25,16,SHEEP,14
4389.0,36.0,43,999,24,24,COW,14
3811.0,0.0,66,91,25,16,SHEEP,14
4667.0,36.0,999,999,25,24,COW,14
4667.0,0.0,65,91,24,16,SHEEP,14
4667.0,36.0,999,999,24,24,COW,14
6343.0,0.0,64,999,25,12,SHEEP,14
3788.0,0.0,14,91,26,16,SHEEP,14
3788.0,0.0,62,21,24,24,COW,14
3518.0,0.0,61,91,24,16,SHEEP,14
2662.0,0.0,108,21,26,24,COW,14
2526.0,0.0,10,21,28,24,COW,14
2526.0,0.0,7,21,25,24,COW,14
5534.0,221.0,46,43,23,13,SHEEP,15
5534.0,110.0,94,116,24,17,COW,15
5398.0,221.0,43,43,23,13,SHEEP,15
5398.0,110.0,19,116,24,17,COW,15
7229.0,221.0,41,43,23,13,SHEEP,15
7229.0,110.0,17,116,24,17,COW,15
7229.0,221.0,41,43,24,13,SHEEP,15
7229.0,110.0,17,116,24,17,COW,15
4908.0,36.0,999,999,19,24,COW,15
5284.0,221.0,62,43,24,13,SHEEP,15
5284.0,110.0,38,116,24,17,COW,15
4732.0,221.0,37,43,24,13,SHEEP,15
1552.0,110.0,84,116,24,17,COW,15
1012.0,110.0,31,116,24,17,COW,15
2288.0,266.0,22,19,24,24,SHEEP,16
2288.0,152.0,70,92,24,24,COW,16
8250.0,266.0,19,19,24,24,SHEEP,16
8250.0,760.0,43,999,24,26,COW,16
8250.0,266.0,18,19,23,24,SHEEP,16
8250.0,760.0,41,999,24,26,COW,16
8250.0,760.0,999,999,24,26,COW,16
0.0,266.0,16,19,25,24,SHEEP,16
0.0,152.0,15,92,23,24,COW,16
0.0,266.0,39,19,23,24,SHEEP,16
0.0,266.0,14,19,23,24,SHEEP,16
0.0,152.0,13,92,26,24,COW,16
658.0,152.0,59,92,25,24,COW,16
752.0,152.0,8,92,23,24,COW,16
201.0,240.0,46,68,24,24,COW,17
2081.0,240.0,69,116,25,21,SHEEP,17
4712.0,240.0,19,68,24,24,COW,17
4712.0,240.0,66,116,24,21,SHEEP,17
4712.0,240.0,66,116,25,21,SHEEP,17
4712.0,240.0,17,68,24,24,COW,17
2832.0,240.0,16,68,25,24,COW,17
2832.0,0.0,40,999,23,21,COW,17
2832.0,480.0,64,999,24,24,SHEEP,17
5128.0,240.0,15,116,24,21,SHEEP,17
6437.0,120.0,999,999,25,22,COW,17
6437.0,240.0,35,68,24,24,COW,17
49.0,120.0,999,999,27,22,COW,17
193.0,240.0,52,116,34,21,SHEEP,17
9298.0,0.0,46,92,23,24,SHEEP,18
9298.0,0.0,22,21,24,24,COW,18
14029.0,0.0,43,92,23,24,SHEEP,18
14029.0,0.0,43,999,24,24,COW,18
9999.0,0.0,42,92,24,24,SHEEP,18
10893.0,0.0,41,999,24,24,COW,18
15249.0,0.0,999,999,24,24,COW,18
22424.0,0.0,39,92,25,24,SHEEP,18
22424.0,0.0,63,999,24,25,SHEEP,18
22424.0,0.0,15,21,21,24,COW,18
15940.0,0.0,12,21,23,24,COW,18
10776.0,0.0,35,92,17,24,SHEEP,18
3030.0,0.0,8,21,32,24,COW,18
2234.0,0.0,6,21,23,24,COW,18
839.0,336.0,22,67,24,25,SHEEP,19
1311.0,168.0,45,20,25,24,COW,19
5762.0,336.0,19,67,24,25,SHEEP,19
5762.0,168.0,19,20,24,24,COW,19
9978.0,168.0,17,20,23,24,COW,19
9978.0,168.0,17,20,24,24,COW,19
9978.0,336.0,17,67,22,25,SHEEP,19
9978.0,336.0,17,67,25,25,SHEEP,19
13170.0,336.0,15,67,20,25,SHEEP,19
13170.0,336.0,39,67,24,25,SHEEP,19
13170.0,42.0,999,999,24,24,COW,19
10697.0,42.0,999,999,18,24,COW,19
11460.0,168.0,35,20,25,24,COW,19
9546.0,42.0,999,999,23,24,COW,19
16787.0,0.0,22,38,23,24,COW,20
12683.0,0.0,69,44,25,23,SHEEP,20
10886.0,0.0,66,44,23,23,SHEEP,20
10886.0,0.0,66,44,25,23,SHEEP,20
10886.0,0.0,42,999,25,24,COW,20
4829.0,0.0,16,38,22,24,COW,20
4829.0,0.0,64,999,25,25,SHEEP,20
4829.0,0.0,999,999,25,24,COW,20
4829.0,0.0,999,999,25,24,COW,20
5035.0,0.0,13,44,26,23,SHEEP,20
5065.0,0.0,12,38,27,24,COW,20
5065.0,0.0,60,44,27,23,SHEEP,20
4676.0,0.0,9,38,26,24,COW,20
11514.0,0.0,2,38,29,24,COW,20
1632.0,450.0,46,19,23,25,SHEEP,21
1632.0,1005.0,999,999,24,24,COW,21
2356.0,450.0,43,19,23,25,SHEEP,21
1966.0,900.0,18,17,24,25,COW,21
1152.0,900.0,17,17,23,25,COW,21
1152.0,450.0,41,19,25,25,SHEEP,21
1152.0,900.0,17,17,23,25,COW,21
1066.0,675.0,63,999,22,25,SHEEP,21
2359.0,1005.0,38,999,26,24,COW,21
2359.0,1005.0,999,999,22,24,COW,21
2733.0,450.0,37,19,27,25,SHEEP,21
3115.0,450.0,36,19,24,25,SHEEP,21
3115.0,1005.0,999,999,21,24,COW,21
11332.0,1005.0,999,999,21,24,COW,21
4959.0,0.0,22,43,24,23,SHEEP,22
4959.0,0.0,22,21,24,24,COW,22
11642.0,0.0,19,43,22,23,SHEEP,22
17154.0,0.0,42,999,24,21,COW,22
17154.0,0.0,18,43,25,23,SHEEP,22
17344.0,0.0,17,21,21,24,COW,22
17344.0,0.0,41,999,24,21,COW,22
17344.0,0.0,999,999,24,21,COW,22
15308.0,0.0,39,43,24,23,SHEEP,22
21073.0,0.0,14,21,24,24,COW,22
21073.0,0.0,14,43,22,23,SHEEP,22
16049.0,0.0,12,43,25,23,SHEEP,22
16049.0,0.0,12,21,24,24,COW,22
7753.0,0.0,6,21,23,24,COW,22
69.0,47.0,999,999,24,24,COW,23
267.0,705.0,69,18,25,25,SHEEP,23
6515.0,235.0,19,20,23,24,COW,23
13277.0,705.0,66,18,24,25,SHEEP,23
14909.0,235.0,17,20,24,24,COW,23
14909.0,705.0,65,18,26,25,SHEEP,23
14909.0,235.0,17,20,24,24,COW,23
15705.0,705.0,64,999,20,13,SHEEP,23
11466.0,705.0,15,18,24,25,SHEEP,23
16914.0,47.0,38,999,24,24,COW,23
16914.0,47.0,999,999,27,24,COW,23
16914.0,705.0,62,18,24,25,SHEEP,23
12107.0,47.0,35,999,25,24,COW,23
5989.0,47.0,29,999,25,24,COW,23
13860.0,734.0,46,17,23,26,SHEEP,24
13860.0,48.0,22,21,24,24,COW,24
1899.0,146.0,43,999,24,24,COW,24
1899.0,734.0,43,17,23,26,SHEEP,24
2174.0,734.0,42,17,23,26,SHEEP,24
330.0,146.0,41,999,24,24,COW,24
330.0,146.0,999,999,24,24,COW,24
550.0,734.0,40,17,24,26,SHEEP,24
1092.0,342.0,63,999,24,23,SHEEP,24
1092.0,48.0,14,21,24,24,COW,24
817.0,734.0,37,17,25,26,SHEEP,24
817.0,48.0,13,21,22,24,COW,24
4947.0,48.0,8,21,30,24,COW,24
7755.0,48.0,7,21,22,24,COW,24
4268.0,800.0,22,19,24,13,SHEEP,25
4268.0,200.0,999,999,24,24,COW,25
8678.0,800.0,19,19,24,13,SHEEP,25
8678.0,800.0,19,19,24,25,COW,25
8678.0,800.0,18,19,24,13,SHEEP,25
9207.0,800.0,17,19,24,25,COW,25
9207.0,800.0,17,19,23,13,SHEEP,25
9298.0,800.0,16,19,25,25,COW,25
12011.0,200.0,999,999,17,24,COW,25
12011.0,800.0,39,19,24,13,SHEEP,25
10302.0,800.0,14,19,23,13,SHEEP,25
10302.0,200.0,999,999,25,24,COW,25
